구분,세대수,전체 인구수,남자 인구수,여자 인구수,데이터기준일자
신북읍,3611,6948,3481,3467,2025-08-01
동  면,8143,18788,9218,9570,2025-08-01
동산면,774,1362,756,606,2025-08-01
신동면,1236,2561,1334,1227,2025-08-01
동내면,9382,20287,10198,10089,2025-08-01
남  면,659,1031,560,471,2025-08-01
남산면,1950,3248,1721,1527,2025-08-01
서  면,1973,3565,1832,1733,2025-08-01
사북면,1359,2279,1130,1149,2025-08-01
북산면,619,936,531,405,2025-08-01
소양동,4066,8700,4221,4479,2025-08-01
교  동,2703,3854,2020,1834,2025-08-01
조운동,1558,2468,1205,1263,2025-08-01
약사명동,2417,5387,2626,2761,2025-08-01
근화동,4516,9022,4505,4517,2025-08-01
후평1동,6326,11043,5515,5528,2025-08-01
후평2동,6336,13781,6516,7265,2025-08-01
후평3동,8925,19264,9138,10126,2025-08-01
효자1동,1905,3984,1975,2009,2025-08-01
효자2동,8644,12373,6652,5721,2025-08-01
효자3동,2871,4356,2208,2148,2025-08-01
석사동,15371,32720,16128,16592,2025-08-01
퇴계동,20094,46270,22115,24155,2025-08-01
강남동,11125,25532,12369,13163,2025-08-01
신사우동,11028,25471,12688,12783,2025-08-01
