구분,인구수,남,여,세대수
용당1동,9067,4548,4519,5322
용당2동,4379,2244,2135,2697
연동,3788,1900,1888,2422
산정동,8708,4221,4487,4015
연산동,9828,4824,5004,4111
원산동,11206,5536,5670,5823
대성동,4612,2290,2322,2389
목원동,6020,3076,2944,3789
동명동,4453,2287,2166,2644
삼학동,5397,2644,2753,2637
만호동,2287,1186,1101,1517
유달동,3630,1982,1648,2445
죽교동,2587,1340,1247,1628
북항동,8225,4127,4098,4201
용해동,15468,7602,7866,7336
이로동,9876,4815,5061,4264
상동,21420,10421,10999,10162
하당동,14463,7396,7067,7965
신흥동,15905,7870,8035,7706
삼향동,4247,2106,2141,2269
옥암동,10418,4970,5448,4496
부흥동,7634,3729,3905,4119
부주동,21623,10898,10725,9534
