동명,통,반,세대수,인구_남여_외국인,남,여,외국인,담당부서,기준일자
성당동,44,287,10098,20338,9842,10496,131,대구광역시 달서구 총무과,2025-10-31
두류1·2동,34,224,9051,15690,7685,8005,127,대구광역시 달서구 총무과,2025-10-31
두류3동,18,107,4645,9025,4340,4685,67,대구광역시 달서구 총무과,2025-10-31
본 리 동,33,215,9553,22540,11076,11464,405,대구광역시 달서구 총무과,2025-10-31
감 삼 동,48,344,13572,30921,15074,15847,143,대구광역시 달서구 총무과,2025-10-31
죽 전 동,28,178,7617,14401,7092,7309,163,대구광역시 달서구 총무과,2025-10-31
장 기 동,22,183,7057,15480,7524,7956,499,대구광역시 달서구 총무과,2025-10-31
용산1동,41,299,12502,28342,14143,14199,228,대구광역시 달서구 총무과,2025-10-31
용산2동,33,275,11184,25162,12522,12640,290,대구광역시 달서구 총무과,2025-10-31
이곡1동,29,235,8934,20026,9995,10031,695,대구광역시 달서구 총무과,2025-10-31
이곡2동,25,216,6855,14347,7250,7097,717,대구광역시 달서구 총무과,2025-10-31
신 당 동,53,365,17099,28150,14166,13984,7165,대구광역시 달서구 총무과,2025-10-31
월성1동,43,305,13349,39881,19475,20406,94,대구광역시 달서구 총무과,2025-10-31
월성2동,34,220,7926,13699,6448,7251,1047,대구광역시 달서구 총무과,2025-10-31
진 천 동,67,456,21603,49995,24318,25677,320,대구광역시 달서구 총무과,2025-10-31
유 천 동,29,188,11020,33134,16359,16775,73,대구광역시 달서구 총무과,2025-10-31
상인1동,51,373,12845,32566,15677,16889,76,대구광역시 달서구 총무과,2025-10-31
상인2동,37,228,8712,17043,8407,8636,145,대구광역시 달서구 총무과,2025-10-31
상인3동,21,125,5989,9724,4637,5087,44,대구광역시 달서구 총무과,2025-10-31
도 원 동,43,363,13660,31491,15006,16485,76,대구광역시 달서구 총무과,2025-10-31
송현1동,33,210,9350,16261,8136,8125,329,대구광역시 달서구 총무과,2025-10-31
송현2동,37,248,9720,18075,8569,9506,420,대구광역시 달서구 총무과,2025-10-31
본    동,23,153,6417,12143,6002,6141,254,대구광역시 달서구 총무과,2025-10-31
