행정동,인구수_계,인구수_남,인구수_여,18세 이하_계,18세 이하_남,18세 이하_여,19세 이상 39세 이하_계,19세 이상 39세 이하_남,19세 이상 39세 이하_여,65세 이상_계,65세 이상_남자,65세 이상_여자,세대수,데이터기준일자
진영읍,53793,27685,26108,10660,5479,5181,11058,5995,5063,8255,3751,4504,24067,2024-12-31
주촌면,19815,10165,9650,4450,2285,2165,5601,2834,2767,1833,932,901,7996,2024-12-31
진례면,5712,3099,2613,351,190,161,806,501,305,2088,969,1119,3265,2024-12-31
한림면,6534,3582,2952,296,160,136,799,521,278,2757,1269,1488,3838,2024-12-31
생림면,3460,1841,1619,121,76,45,391,233,158,1521,729,792,2062,2024-12-31
상동면,2961,1646,1315,139,82,57,386,240,146,1131,563,568,1685,2024-12-31
대동면,5107,2619,2488,245,126,119,514,303,211,2425,1142,1283,2815,2024-12-31
동상동,8733,4502,4231,864,432,432,2013,1114,899,2050,966,1084,4532,2024-12-31
회현동,8191,4107,4084,897,482,415,1735,944,791,2213,978,1235,4109,2024-12-31
부원동,8946,4553,4393,878,438,440,2083,1168,915,2024,912,1112,4696,2024-12-31
내외동,69448,34587,34861,9194,4777,4417,18499,10030,8469,10106,4432,5674,32062,2024-12-31
북부동,81205,40531,40674,14780,7592,7188,19694,10555,9139,10086,4433,5653,33465,2024-12-31
칠산서부동,8895,4721,4174,876,460,416,1802,1053,749,2257,1064,1193,4473,2024-12-31
활천동,36625,18736,17889,4466,2330,2136,8592,4800,3792,6799,3079,3720,17349,2024-12-31
삼안동,35598,18336,17262,3863,2021,1842,9891,5602,4289,6153,2818,3335,17755,2024-12-31
불암동,6652,3372,3280,852,426,426,1426,789,637,1385,642,743,2908,2024-12-31
장유1동,58557,29183,29374,11170,5606,5564,14326,7619,6707,6875,2937,3938,23629,2024-12-31
장유2동,37542,19008,18534,6913,3524,3389,9138,4994,4144,4236,1802,2434,15951,2024-12-31
장유3동,73902,36660,37242,19497,9856,9641,16681,8412,8269,6132,2677,3455,27759,2024-12-31
