행정기관,인구수,인구수(남),인구수(여),구 성 비,구성비(남),구성비(여),성 비,세대수,세대당인구,데이터기준일자
구룡포읍,6576,3327,3249,3,1.52,1.48,102.4,4296,1.53,2025-04-01
연일읍,27773,14076,13697,12.68,6.43,6.25,102.77,12108,2.29,2025-04-01
오천읍,57156,30853,26303,26.1,14.09,12.01,117.3,28064,2.04,2025-04-01
대송면,3072,1605,1467,1.4,0.73,0.67,109.41,1819,1.69,2025-04-01
동해면,9156,4632,4524,4.18,2.12,2.07,102.39,4781,1.92,2025-04-01
장기면,3704,1820,1884,1.69,0.83,0.86,96.6,2340,1.58,2025-04-01
호미곶면,1676,808,868,0.77,0.37,0.4,93.09,1082,1.55,2025-04-01
상대동,22744,11926,10818,10.39,5.45,4.94,110.24,13387,1.7,2025-04-01
해도동,15873,8181,7692,7.25,3.74,3.51,106.36,9755,1.63,2025-04-01
송도동,11139,5538,5601,5.09,2.53,2.56,98.88,6321,1.76,2025-04-01
청림동,4601,2544,2057,2.1,1.16,0.94,123.68,2822,1.63,2025-04-01
제철동,2285,1245,1040,1.04,0.57,0.47,119.71,1182,1.93,2025-04-01
효곡동,29324,14950,14374,13.39,6.83,6.56,104.01,11138,2.63,2025-04-01
대이동,23916,12208,11708,10.92,5.57,5.35,104.27,10275,2.33,2025-04-01
흥해읍,56576,28625,27951,20.81,10.53,10.28,102.41,25588,2.21,2025-04-01
신광면,2721,1376,1345,1,0.51,0.49,102.3,1618,1.68,2025-04-01
청하면,4433,2189,2244,1.63,0.81,0.83,97.55,2667,1.66,2025-04-01
송라면,2295,1113,1182,0.84,0.41,0.43,94.16,1520,1.51,2025-04-01
기계면,4745,2330,2415,1.75,0.86,0.89,96.48,2736,1.73,2025-04-01
죽장면,2034,1044,990,0.75,0.38,0.36,105.45,1359,1.5,2025-04-01
죽장면상옥출장소,604,316,288,0.22,0.12,0.11,109.72,378,1.6,2025-04-01
기북면,1290,639,651,0.47,0.24,0.24,98.16,779,1.66,2025-04-01
중앙동,13663,6727,6936,5.03,2.47,2.55,96.99,8177,1.67,2025-04-01
양학동,16327,8010,8317,6.01,2.95,3.06,96.31,7238,2.26,2025-04-01
죽도동,18573,9248,9325,6.83,3.4,3.43,99.17,11344,1.64,2025-04-01
용흥동,19786,9658,10128,7.28,3.55,3.73,95.36,9158,2.16,2025-04-01
우창동,31311,15197,16114,11.52,5.59,5.93,94.31,13998,2.24,2025-04-01
두호동,21187,10379,10808,7.79,3.82,3.98,96.03,8983,2.36,2025-04-01
장량동,67621,34428,33193,24.87,12.66,12.21,103.72,28825,2.35,2025-04-01
환여동,8696,4254,4442,3.2,1.56,1.63,95.77,3827,2.27,2025-04-01
