행정기관,인 구 수,남,여,지역,남자,여자,성 비,세대수,세대당인구
승주읍,2750,1363,1387,0.97,0.48,0.49,98.27,1562,1.76
해룡면,4615,2379,2236,1.64,0.84,0.79,106.4,2435,1.9
해룡면상삼출장소,18239,9022,9217,6.46,3.2,3.27,97.88,7102,2.57
해룡면신대출장소,32660,16613,16047,11.57,5.89,5.69,103.53,11098,2.94
서면,12103,6053,6050,4.29,2.15,2.14,100.05,5873,2.06
황전면,2941,1479,1462,1.04,0.52,0.52,101.16,1717,1.71
월등면,1797,855,942,0.64,0.3,0.33,90.76,1013,1.77
주암면,3182,1611,1571,1.13,0.57,0.56,102.55,1911,1.67
송광면,1519,783,736,0.54,0.28,0.26,106.39,891,1.7
외서면,900,435,465,0.32,0.15,0.16,93.55,546,1.65
낙안면,3264,1579,1685,1.16,0.56,0.6,93.71,1768,1.85
별량면,5544,2770,2774,1.96,0.98,0.98,99.86,2938,1.89
상사면,2845,1450,1395,1.01,0.51,0.49,103.94,1467,1.94
향동,3756,1848,1908,1.33,0.65,0.68,96.86,1937,1.94
매곡동,6595,3291,3304,2.34,1.17,1.17,99.61,3316,1.99
삼산동,25360,12429,12931,8.99,4.4,4.58,96.12,10685,2.37
조곡동,6316,3206,3110,2.24,1.14,1.1,103.09,2925,2.16
덕연동,44355,22115,22240,15.72,7.84,7.88,99.44,17468,2.54
풍덕동,7741,3858,3883,2.74,1.37,1.38,99.36,3778,2.05
남제동,8866,4491,4375,3.14,1.59,1.55,102.65,4450,1.99
저전동,2878,1398,1480,1.02,0.5,0.52,94.46,1426,2.02
장천동,2383,1245,1138,0.84,0.44,0.4,109.4,1497,1.59
중앙동,3099,1583,1516,1.1,0.56,0.54,104.42,1746,1.77
도사동,18473,9290,9183,6.55,3.29,3.25,101.17,7702,2.4
왕조1동,40390,19948,20442,14.31,7.07,7.24,97.58,16827,2.4
왕조2동,19618,9678,9940,6.95,3.43,3.52,97.36,7410,2.65
