행정기관,인구수(계),인구수(남),인구수(여),구성비(계),구성비(남),구성비(여),성비,세대수,세대당인구,관리기관명,관리부서명,부서전화번호,데이터기준일자
의정부1동,37958,19190,18768,8.23,4.16,4.07,102.25,22426,1.69,경기도 의정부시청,민원여권과,031-828-2466,2025-08-31
의정부2동,29726,14821,14905,6.44,3.21,3.23,99.44,16380,1.81,경기도 의정부시청,민원여권과,031-828-2466,2025-08-31
호원1동,33451,16178,17273,7.25,3.51,3.74,93.66,15072,2.22,경기도 의정부시청,민원여권과,031-828-2466,2025-08-31
호원2동,32065,15377,16688,6.95,3.33,3.62,92.14,13231,2.42,경기도 의정부시청,민원여권과,031-828-2466,2025-08-31
장암동,18504,8813,9691,4.01,1.91,2.1,90.94,8280,2.23,경기도 의정부시청,민원여권과,031-828-2466,2025-08-31
신곡1동,41592,20325,21267,9.01,4.41,4.61,95.57,18034,2.31,경기도 의정부시청,민원여권과,031-828-2466,2025-08-31
신곡2동,43800,21136,22664,9.49,4.58,4.91,93.26,18746,2.34,경기도 의정부시청,민원여권과,031-828-2466,2025-08-31
송산1동,30332,14804,15528,6.57,3.21,3.37,95.34,13459,2.25,경기도 의정부시청,민원여권과,031-828-2466,2025-08-31
송산2동,30940,15310,15630,6.71,3.32,3.39,97.95,13091,2.36,경기도 의정부시청,민원여권과,031-828-2466,2025-08-31
송산3동,44661,21659,23002,9.68,4.69,4.99,94.16,18039,2.48,경기도 의정부시청,민원여권과,031-828-2466,2025-08-31
자금동,25218,12284,12934,5.47,2.66,2.8,94.97,11715,2.15,경기도 의정부시청,민원여권과,031-828-2466,2025-08-31
가능동,25994,12997,12997,5.63,2.82,2.82,100,13281,1.96,경기도 의정부시청,민원여권과,031-828-2466,2025-08-31
흥선동,18027,9179,8848,3.91,1.99,1.92,103.74,9094,1.98,경기도 의정부시청,민원여권과,031-828-2466,2025-08-31
녹양동,18992,9397,9595,4.12,2.04,2.08,97.94,8944,2.12,경기도 의정부시청,민원여권과,031-828-2466,2025-08-31
고산동,30144,15036,15108,6.53,3.26,3.27,99.52,11937,2.53,경기도 의정부시청,민원여권과,031-828-2466,2025-08-31
