행정동, 세대수(세대), 인구수(명), 남자인구수(명), 여자인구수(명), 구전체 인구에 대한 구성비(퍼센트),데이터기준일
학성동,5791,10741,5509,5232,5.17,2024-07-14
반구1동,7602,15684,8206,7478,7.55,2024-07-14
반구2동,4330,8205,4184,4021,3.95,2024-07-14
복산동,8879,20774,10392,10382,10,2024-07-14
성안동,8575,20026,10258,9768,9.64,2024-07-14
중앙동,6599,11371,5898,5473,5.47,2024-07-14
우정동,8048,17644,8760,8884,8.5,2024-07-14
태화동,12609,31468,15632,15836,15.15,2024-07-14
다운동,10598,21249,10774,10475,10.23,2024-07-14
병영1동,9166,20649,10469,10180,9.94,2024-07-14
병영2동,8622,19398,9765,9633,9.34,2024-07-14
약사동,3851,10484,5264,5220,5.05,2024-07-14
