시도명,시군명,연도,세대수,인구수 합계,인구수 남성,인구수 여성,외국인 포함 여부,데이터 기준일자,비고
경기도,여주시,2023,55514,114412,58177,56235,미포함,2024-12-26,최고
경기도,여주시,2022,53946,113150,57567,55583,미포함,2024-12-26,
경기도,여주시,2021,52731,112150,57022,55128,미포함,2024-12-26,
경기도,여주시,2020,51748,111897,56838,55059,미포함,2024-12-26,
경기도,여주시,2019,50334,111083,56427,54656,미포함,2024-12-26,
경기도,여주시,2018,49542,111525,56479,55046,미포함,2024-12-26,
경기도,여주시,2017,48892,111984,56629,55355,미포함,2024-12-26,
경기도,여주시,2016,47889,111563,56445,55118,미포함,2024-12-26,
경기도,여주시,2015,47117,111033,56180,54853,미포함,2024-12-26,
경기도,여주시,2014,46302,110386,55745,54641,미포함,2024-12-26,
경기도,여주시,2013,45431,109343,55211,54132,미포함,2024-12-26,
경기도,여주시,2012,45104,109550,55348,54202,미포함,2024-12-26,
경기도,여주시,2011,44575,109120,55175,53945,미포함,2024-12-26,
경기도,여주시,2010,44283,109250,55199,54051,미포함,2024-12-26,
경기도,여주시,2009,43054,108088,54478,53610,미포함,2024-12-26,
경기도,여주시,2008,41957,107355,54210,53145,미포함,2024-12-26,
경기도,여주시,2007,40922,106926,53998,52938,미포함,2024-12-26,
경기도,여주시,2006,39344,105022,53162,51860,미포함,2024-12-26,
경기도,여주시,2005,38060,104260,52855,51405,미포함,2024-12-26,
경기도,여주시,2004,37283,103976,52742,51234,미포함,2024-12-26,
경기도,여주시,2003,36587,104030,52625,51405,미포함,2024-12-26,
경기도,여주시,2002,35807,104380,52753,51627,미포함,2024-12-26,
경기도,여주시,2001,35095,104648,52888,51760,미포함,2024-12-26,
경기도,여주시,2000,34024,103622,52353,51269,미포함,2024-12-26,
경기도,여주시,1999,32559,101782,51530,50252,미포함,2024-12-26,
경기도,여주시,1998,32113,101396,51401,49995,미포함,2024-12-26,
경기도,여주시,1997,31577,100873,51194,49679,미포함,2024-12-26,
경기도,여주시,1996,30376,99755,50710,49045,미포함,2024-12-26,
경기도,여주시,1995,28719,99755,50710,49679,미포함,2024-12-26,
경기도,여주시,1994,27699,95818,48669,47149,미포함,2024-12-26,
경기도,여주시,1993,27128,95994,48690,47304,미포함,2024-12-26,
경기도,여주시,1992,26306,95951,48621,47330,미포함,2024-12-26,
경기도,여주시,1991,25022,95026,46294,48732,미포함,2024-12-26,
경기도,여주시,1990,23838,96895,49426,47469,미포함,2024-12-26,
경기도,여주시,1989,23494,96828,49316,47512,미포함,2024-12-26,
경기도,여주시,1988,22535,93093,46980,46113,미포함,2024-12-26,
경기도,여주시,1987,22967,93544,47350,46194,미포함,2024-12-26,
경기도,여주시,1986,21535,92596,47310,45286,미포함,2024-12-26,최저
경기도,여주시,1985,21585,93341,47934,45407,미포함,2024-12-26,
경기도,여주시,1984,20925,96137,48927,47210,미포함,2024-12-26,
경기도,여주시,1983,20672,96683,49126,47557,미포함,2024-12-26,
경기도,여주시,1982,20367,97431,49473,47958,미포함,2024-12-26,
경기도,여주시,1981,20090,98255,49753,48502,미포함,2024-12-26,
경기도,여주시,1980,20433,98215,49968,48247,미포함,2024-12-26,
경기도,여주시,1979,19415,98589,49625,48964,미포함,2024-12-26,
경기도,여주시,1978,19222,100797,50559,50238,미포함,2024-12-26,
경기도,여주시,1977,19112,102939,51970,50969,미포함,2024-12-26,
경기도,여주시,1976,18748,103598,52466,51132,미포함,2024-12-26,
경기도,여주시,1975,19355,104550,53212,51338,미포함,2024-12-26,
경기도,여주시,1974,17923,103843,52615,51228,미포함,2024-12-26,
경기도,여주시,1973,17798,102682,52032,50650,미포함,2024-12-26,
경기도,여주시,1972,17524,101201,51319,49882,미포함,2024-12-26,
경기도,여주시,1971,17196,99029,49847,49182,미포함,2024-12-26,
경기도,여주시,1970,17966,101048,50871,50177,미포함,2024-12-26,
경기도,여주시,1969,17089,100134,50210,49924,미포함,2024-12-26,
경기도,여주시,1968,17410,103427,51972,51455,미포함,2024-12-26,
경기도,여주시,1967,17879,106406,53435,52971,미포함,2024-12-26,
경기도,여주시,1966,18847,110851,56054,54797,미포함,2024-12-26,
경기도,여주시,1965,17747,108836,54763,54073,미포함,2024-12-26,
경기도,여주시,1964,17544,107163,53995,53168,미포함,2024-12-26,
경기도,여주시,1963,17301,103814,51831,51983,미포함,2024-12-26,
경기도,여주시,1962,18474,108569,54271,54298,미포함,2024-12-26,
경기도,여주시,1961,17985,103755,51197,52558,미포함,2024-12-26,
경기도,여주시,1960,18102,102313,50343,51970,미포함,2024-12-26,
